startdate,enddate,uid_r,text,gods_involved
03-15,03-15,V164-3,3/15: The birthday celebration of Maoxian zushi 茂仙祖师. Opera is performed. Daoist masters are invited to conduct rites.,['Mao']
03-23,03-23,V164-4,"3/23: The birthday celebration of Tianshang shengmu 天上圣母. Opera is performed. Daoist masters are invited to conduct rites. Every lunar third month, Tianshang shengmu 天上圣母 goes on procession within the four-fold jia.",['Tianshang shengmu']
04-19,04-19,V164-5,4/19: The birthday celebration of Tiangong yuanshuai 田公元帅 and Shuntian shengmu 顺天圣母. Opera is performed. Daoist masters are invited to conduct rites.,"['Shuntian shengmu', 'Tiangong', 'Tiangong yuanshuai']"
05-13,05-13,V164-6,5/13: The birthday celebration of Xietian dadi 协天大帝. Opera is performed. Daoist masters are invited to conduct rites.,['Xietian dadi']
08-09,08-09,V164-7,8/9: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Xinanshê 新安社 of Dongjia 东甲. Opera is performed. Daoist masters are invited to conduct rites.,"['Houtu furen', 'Zunzhu mingwang']"
08-13,08-13,V164-8,8/13: The birthday of Yuantian shangdi 元天上帝 is celebrated as a midautumn festival.,['Yuantian shangdi']
10-13,10-13,V164-9,10/13: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Xinanshê 新安社. Opera is performed. Daoist masters are invited to conduct rites.,"['Houtu furen', 'Zunzhu mingwang']"
11-24,11-24,V164-10,"11/24: The birthday celebration of Maoxian zushi 茂仙祖师. Opera is performed. Daoist masters are invited to conduct rites. Dongshan sishê (Dongshan four shê ritual alliance) 东山四社 Dongshan is also called ZouZengXu 邹曾徐 and Sancuo 三厝. It is located between the Houyang main channel 后洋大沟 of the Mulan 木兰 irrigation system and the coastal sea dikes below the mouth of the Mulan river, near the Dongshan sluice-gate. It was originally part of the Zouzengxupu 邹曾 徐铺 of the Xingfuli sub-canton 兴福里. In this area in the Ming there already was a village called Zou Zeng Xu 邹曾徐. Currently, the population of Dongshan is over 10,000 people, and it is managed by two Administrative Villages: Dongshan 东山行政村 and Dongyuan 东源行政村. The temple ritual system is divided on the basis of residence and lineage into the four shê ritual associations of Shangzou 上邹, Xiazou 下邹, Dongcuo 东厝, and Zhengcuo 郑厝. The Chongjiaogong 崇教宫 of Shangzou village 上邹 (see below) is the main temple for the four shê ritual association. The two main surnames of this area are the Zou 邹 and the Zheng 郑. The Zou have over 6000 people. The Zou ancestors are said to have emigrated from Zou county of Shandong province 山东邹县 to Putian 莆田 during the Jianyan period of the Southern Song Dynasty (1127–1130). In the Ming dynasty, the Zou were a prominent lineage with many successful examination Dongshan four shê ritual alliance graduates. They produced two Jinshi 进士 (Metropolitan Graduates) and seven Juren 举人 (Provincial Graduates). The Fancan Family Temple 藩参 家庙, first built in Ming Jiajing 29 (1550) and still extant, is the ancestral lineage hall of the Zou of Dongshan 东山, as well as of the Zou of Xindu 新度 and Xiyuan 西园, etc. In the feuding banner alliances of the late Qing, the four shê of Dongshan were part of the black banner alliance.",['Mao']
03-23,03-23,V165-1,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
04-26,04-26,V165-2,"4/26: The birthday celebration of Yanggong taishi 杨公太师. Every year of the dragon, Yanggong taishi 杨公太师 go on procession within the five-fold shê on a day determined by divination.",['Yanggong taishi']
07-07,07-07,V165-3,7/7: The birthday celebration of Lufu furen 鲁府夫人.,['Lufu furen']
08-14,08-14,V165-4,"8/14: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On all these occasions, opera is performed, and Daoist masters are invited to conduct rites.","['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V166-1,"3/3: The birthday celebration of Xuantian shangdi 玄天上帝. Opera is performed. Daoist masters are invited to conduct rites. Every 12 years, on a day determined by divination, Xuantian shangdi 玄天上帝 goes on procession within the four shê alliance.",['Xuantian shangdi']
03-23,03-23,V166-2,3/23: The birthday celebration of Tianshang shengmu 天上圣母. Opera is performed. Daoist masters are invited to conduct rites.,['Tianshang shengmu']
04-26,04-26,V166-3,4/26: The birthday celebration of Yanggong taishi 杨公太师. Opera is performed. Daoist masters are invited to conduct rites.,['Yanggong taishi']
05-12,05-12,V166-4,5/12: The birthday celebration of Sima shengwang 司马圣王. Opera is performed. Daoist masters are invited to conduct rites.,['Sima shengwang']
05-16,05-16,V166-5,5/16: The birthday celebration of Yuhuang dadi 玉皇大帝. Marionette plays are performed.,['Yuhuang dadi']
06-06,06-06,V166-6,"6/6: The birthday celebration of Fude zhengshen 福德正神. Opera is performed. These events are organized by Xingdongmiao 兴东庙, and funding is raised through voluntary contributions.",['Fude zhengshen']
07-07,07-07,V166-7,7/7: The birthday celebration of Lufu yima 鲁府姨妈. Opera is performed. Daoist masters are invited to conduct rites.,['Lufu yima']
08-10,08-10,V166-8,8/10: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Denglong zushê 登龙祖社. Opera is performed. Daoist masters are invited to conduct rites.,"['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V167-1,2/25: The birthday celebration of Qitian dasheng 齐天大圣. Opera is performed. Daoist masters are invited to conduct rites.,['Qitian dasheng']
03-23,03-23,V167-2,3/23: The birthday celebration of Tianshang shengmu 天上圣母. Opera is performed. Daoist masters are invited to conduct rites.,['Tianshang shengmu']
04-09,04-09,V167-3,4/9: The birthday celebration of Tiangong yuanshuai 田公元帅. Opera is performed. Daoist masters are invited to conduct rites.,"['Tiangong', 'Tiangong yuanshuai']"
04-26,04-26,V167-4,"4/26: The birthday celebration of Yanggong taishi 杨公太师. Opera is performed. Daoist masters are invited to conduct rites. Every dragon year, Yanggong taishi 杨公太师 is taken on a procession within the four shê alliance on a day determined by divination.",['Yanggong taishi']
05-16,05-16,V167-5,5/16: The birthday celebration of Yuhuang dadi 玉皇大帝. Opera is performed. Daoist masters are invited to conduct rites.,['Yuhuang dadi']
06-19,06-19,V167-6,6/19: The birthday celebration of Guanyin dashi 观音大士. Marionette plays are performed.,"['Guanyin', 'Guanyin dashi']"
07-23,07-23,V167-7,7/23: The birthday celebration of Zhanggong shengjun 张公圣君. Opera is performed. Daoist masters are invited to conduct rites.,['Zhanggong shengjun']
08-13,08-13,V167-8,8/13: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Zhongxingshê 中兴社. Opera is performed. Daoist masters are invited to conduct rites.,"['Houtu furen', 'Zunzhu mingwang']"
09-19,09-19,V167-9,9/19: The birthday celebration of Guanyin dashi 观音大士. Marionette plays are performed.,"['Guanyin', 'Guanyin dashi']"
09-20,09-20,V167-10,9/20: The birthday celebration of Daye 大爷 of Shayundong 沙云洞. Opera is performed. Daoist masters are invited to conduct rites.,['Daye']
07-07,07-07,V168-1,7/7: The birthday celebration of Lufu furen 鲁府夫人. Opera is performed. Daoist masters are invited to conduct rites.,['Lufu furen']
08-14,08-14,V168-2,8/14: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed for two days. Daoist masters are invited to conduct rites.,"['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V169-1,3/3: The birthday celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
03-23,03-23,V169-2,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
05-12,05-12,V169-3,5/12: The birthday celebration of Sima shengwang 司马圣王.,['Sima shengwang']
08-22,08-22,V169-4,"8/22: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On all these occasions, opera is performed and Daoist masters are invited to conduct rites.","['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V170-1,3/3: The birthday celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
03-23,03-23,V170-2,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
04-26,04-26,V170-3,4/26: The birthday celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
05-01,05-01,V170-4,5/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Yicheng zushê 义成祖社.,"['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V170-5,7/23: The birthday celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
08-29,08-29,V170-6,8/29: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Xianxian dongshê 先贤东社.,"['Houtu furen', 'Zunzhu mingwang']"
10-16,10-16,V170-7,10/16: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Guangrong shushê 光荣书社.,"['Houtu furen', 'Zunzhu mingwang']"
10-28,10-28,V170-8,"10/28: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Yicheng shushê 义成书社. On all these occasions, opera is performed and Daoist ritual masters conduct Jiao rites. Houji qijing (Houji sevenfold ritual alliance) 后积七境 The sevenfold ritual alliance of Houji is located along the sea-dikes near the mouth of the Mulan 木兰 River. In the early Qing, this region was considered out of bounds (jiewai 界外), and was evacuated. The area was originally part of the Houjipu 后积铺 of Dongxiang 东乡and the Chengkoupu 程口铺 (police/defense units) of the Xingfuli sub-canton 兴福里. In the Ming there were already the villages of Dongzhang 东张, Houji 后积, Chengkou 澄口, and Yangbin 洋滨. In the Qing, the villages of Qicuo 歧厝 and Louxia 楼下 separated off. Currently the population is over 8000 people, divided into three Administrative Villages, namely Dongfeng 东风, Tingjiang 汀江 and Tingfeng 汀峰. The Wanlinggong 万灵宫 temple, located in Houji village, is the main overall temple of the sevenfold ritual alliance. The main god is Kong Daren 孔大人 and Wulu jiangjun 五路将军.","['Daren', 'Houtu furen', 'Wulu jiangjun', 'Zunzhu mingwang']"
01-29,01-29,V170-9,"Each year on lunar 1/29 to 2/2, Wulu jiangjun is carried in a procession to the villages of the sevenfold ritual alliance. Every sixty years, Kong Daren is carried in a great procession around scores of villages in the vicinity. These events are organized by the temple committee made up of representatives of the sevenfold ritual alliance, with each village having a voice in the decisions. The Zhu surname of Chengkou 澄口朱 was historically a prominent lineage with many examination graduates, producing two Jinshi 进士 (Metropolitan Graduates) and six Juren 举人 (Provincial Graduates) during the Ming. In Ming Chenghua 11 (1475) the Regional Inspector 巡按御史 set up a Jinshi 进士牌坊 memorial archway for the Zhu lineage of Chengkou village 澄口朱. In Ming Chenghua (1476) the Putian District Magistrate 莆田知县 set up a Jingbiao zhenjie 旌表贞节牌坊 memorial archway in honor of the Wu lineage of Chengkou village 澄口吴. In Ming Hongzhi 2 (1489), the Xinghua Prefect set up a Chaoyang mingfeng 朝阳鸣凤牌坊 memorial archway in honor of the Zhang lineage of Chengkou 澄口张.","['Daren', 'Wulu jiangjun']"
01-09,01-09,V171-1,1/9: The birthday celebration of Yuhuang dadi 玉皇大帝 is organized by Mingtongdian 明通殿 and funding is collected through voluntary contributions. Beidou marionette opera 北斗戏 is performed.,['Yuhuang dadi']
04-26,04-26,V171-2,"4/26: The birthday celebration of Yanggong taishi 杨公太师 is organized by the whole village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. Funds are collected on a per capita basis.",['Yanggong taishi']
05-16,05-16,V171-3,"5/16: The birthday celebration of Yuhuang dadi 玉皇大帝. Marionette plays are performed. The celebration is organized by the Dongxingdian 东兴殿, and funding is raised through voluntary contributions.",['Yuhuang dadi']
08-28,08-28,V171-4,"8/28: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. This event is organized by the Dongshanjing 东山境, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
10-28,10-28,V171-5,"10/28: The birthday celebration of Baima shenghou 白马圣候 is also the occasion for the performance of the Lanpen pudu 兰盆普度 rites of Universal Deliverance for the hungry ghosts, which involves the performance of Mulien plays 目莲戏 (usually with marionettes). Three in One Scripture Masters 经师 are invited to perform the rites. This event is organized by the whole village, and funds are collected on a per capita basis.",['Baima shenghou']
06-19,06-19,V171-6,"6/19: The birthday celebration of Guanyin dashi 观音大士. Opera is performed. This is organized by the Dongcuo region 东厝, and funds are collected on a per capita basis.","['Guanyin', 'Guanyin dashi']"
08-05,08-05,V171-7,"8/5: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Shiwushê 石屋社. Opera is performed, and Daoist ritual masters are invited to conduct rituals. These events are organized by the Dongshan ritual territory and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
08-13,08-13,V171-8,"8/13: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Kaipu dongshê 开莆东社. Opera is performed, and Daoist ritual masters are invited to conduct rituals. These events are organized by the Dongcuo 东厝 ritual territory and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
10-13,10-13,V171-9,"10/13: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Xingxian lishê 兴贤里社. Opera is performed, and Daoist ritual masters are invited to conduct rituals. These events are organized by the Dongcuo 东厝 ritual territory and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
10-28,10-28,V171-10,"10/28: The birthday celebration of Baima shenghou 白马圣候 is also the occasion for the performance of the Lanpen pudu 兰盆普度 rites of Universal Deliverance for the hungry ghosts, which involves the performance of Mulien plays 目莲戏 (usually with marionettes). Three in One Scripture Masters 经师 are invited to perform the rites.",['Baima shenghou']
02-02,02-02,V172-1,"2/2: The birthday celebration of Wulu jiangjun 五路将军. Opera is performed, and Daoist ritual masters are invited to conduct rituals.",['Wulu jiangjun']
03-23,03-23,V172-2,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
04-18,04-18,V172-3,4/18: The birthday celebration of Zhaoshun shenghou 肇顺圣侯.,[]
07-07,07-07,V172-4,"7/7: The birthday celebration of Lufu furen 鲁府夫人. For all the events above, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Lufu furen']
07-16,07-16,V172-5,"7/16: The birthday celebration of Sanyi jiaozhu 三一教主 is held. Opera is performed and Three in One scripture masters 经师 are invited to conduct rituals. This ritual is organized by Houshanci 厚山祠, and funding is raised through voluntary contributions.",['Sanyi jiaozhu']
MM-DD,MM-DD,V172-6,"In the 8th lunar month, on a day determined by divination, the birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.",['Sanyi jiaozhu']
10-17,10-17,V172-7,"10/17: The birthday celebration of Kong daren 孔大人. On this occasion, as for the birthday of the gods of the shê altar preceeding it, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis. Every 60 years, Kong daren of Xiling 西灵孔大人 goes on procession around the numerous villages in the region. These events are organized by Wanlinggong 万灵宫, and each village sends a representative to participate in the management of the event. Kong Daren is considered one of the most powerful Wangye 王爷 of the Putian plains.",['Daren']
03-03,03-03,V173-1,3/3: The birthday celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
07-23,07-23,V173-2,7/23: The birthday celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
10-20,10-20,V173-3,"10/20: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On all the above occasions, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V174-1,2/25: The birthday celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
05-04,05-04,V174-2,"5/4: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. For both these celebrations, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V175-1,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
04-05,04-05,V175-2,"4/5: The birthday celebration of Sima shengwang 司马圣王. For both these celebrations, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Sima shengwang']
05-01,05-01,V175-3,"5/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. This occasion, which involves opera and ritual performances, is organized by the mixed surname segment 杂境 of the village, and funds are collected on a per capita basis within its territory.","['Houtu furen', 'Zunzhu mingwang']"
05-02,05-02,V175-4,"5/2: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. This occasion, which involves opera and ritual performances. These events are organized by the Lin segment 林境 of the village, and funds are collected on a per capita basis within its territory.","['Houtu furen', 'Zunzhu mingwang']"
01-14,01-14,V176-1,"1/14: The birthday celebration of Sanyi jiaozhu 三一教主. Marionette plays are performed, and Three in One scripture masters 经师 are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Sanyi jiaozhu']
04-21,04-21,V176-2,"4/21: The birthday celebration of Cigan xianfei 慈感仙妃. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Cigan xianfei']
05-01,05-01,V176-3,"5/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 from Xingneng qianshê 兴能前社 (of Qianchengkou village). Opera is performed, and Daoist ritual masters are invited to conduct rituals. This ritual is jointly organized by this village itself and by the mixed surname group 杂姓 in Qianchengkou 前程口 and funds are collected on a per capita basis within these areas..","['Houtu furen', 'Zunzhu mingwang']"
02-19,02-19,V177-1,2/19: The birthday celebration of Guanyin dashi 观音大士.,"['Guanyin', 'Guanyin dashi']"
04-26,04-26,V177-2,4/26: The birthday celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
08-10,08-10,V177-3,8/10: The birthday celebration of Zunzhu mingwang 尊主明王and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
10-19,10-19,V177-4,10/19: The birthday celebration of Bai daren 白大人.,['Bai daren']
11-17,11-17,V177-5,"11/17: The birthday celebration of Hei daren 黑大人. On all these occasions, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes these rituals together, and funds are collected on a per capita basis.",['Hei daren']
02-25,02-25,V178-1,"2/25: The birthday celebration of Qitian dasheng 齐天大圣. The god is taken on a procession around the sevenfold alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. This celebration is organized in annual rotation between the Chen 陈 of Xiachen 下陈 village and the Li 李 surname group. Funds are collected on a per capita basis. The birthday celebration of Tianshang shengmu 天上圣母 is also organized in annual rotation between the Chen 陈 of Xiachen village 下陈 and the Li 李 surname group.","['Qitian dasheng', 'Tianshang shengmu']"
08-08,08-08,V178-2,"8/8: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xingheshê 兴和社. Opera is performed, and Daoist ritual masters are invited to conduct rituals. These events are organized by the Li 李 surname group, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
10-12,10-12,V178-3,"10/12: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xingxianshê 兴贤社. Opera is performed, and Daoist ritual masters are invited to conduct rituals. This ritual is organized by the village as a whole, together with Xiachen下陈village, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V178-4,3/23:,[]
01-05,01-05,V179-1,"1/5: The birthday of Zhongjun 中军. Opera is performed, and Daoist ritual masters are invited to conduct rituals.",[]
02-25,02-25,V179-2,"2/25: The birthday celebration of Qitian dasheng 齐天大圣. Opera is performed, and Daoist ritual masters are invited to conduct rituals. This celebration is organized in annual rotation between the Chen 陈 of Xiachen village 下陈 and the Li 李 of Chengbian 埕边. Funds are collected on a per capita basis. The birthday celebration of Tianshang shengmu 天上圣母 is also organized in annual rotation between the Chen 陈 of Xiachen village 下陈 and the Li 李of Chengbian埕边.","['Qitian dasheng', 'Tianshang shengmu']"
10-12,10-12,V179-3,"10/12: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人of Xingxianshê 兴贤社. Opera is performed, and Daoist ritual masters are invited to conduct rituals. This ritual is organized by the village as a whole, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V179-4,3/23:,[]
02-25,02-25,V180-1,2/25: The village takes part in the procession of Qitian dasheng 齐天大圣 of Chengxianggong temple 呈祥宫 3/23: The birthday of Tianshang shengmu 天上圣母.,"['Qitian dasheng', 'Tianshang shengmu']"
04-15,04-15,V180-2,4/15: The birthday of Huangfu yuanshuai 黄府元帅.,[]
07-07,07-07,V180-3,"7/7: The birthday of Lufu dashen 鲁府大神 and Lufu furen 鲁府夫人 In the 8th lunar month, on a day determined by divination, the birthday of Sima shengwang 司马圣王 is celebrated.","['Lufu furen', 'Sima shengwang']"
MM-DD,MM-DD,V180-4,"In the 10th lunar month, on a day determined by divination, the birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are celebrated.","['Lufu furen', 'Sima shengwang']"
MM-DD,MM-DD,V180-5,"In the 11th lunar month, the Lanpen pudu rite of Universal Deliverance 兰盆 普度 is held. On all the above occasions, opera is performed and Daoist ritual specialists or Three in One Scripture masters are invited to carry out rituals. The celebrations are organized by the village as a whole, and funds are raised on a per capita basis.","['Lufu furen', 'Sima shengwang']"
02-25,02-25,V181-1,2/25: The village takes part in the procession of Chengxianggong’s 呈祥宫 Qitian dasheng 齐天大圣 3/23: The birthday celebration of Tianshang shengmu 天上圣母.,"['Qitian dasheng', 'Tianshang shengmu']"
04-26,04-26,V181-2,4/26: The birthday celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
MM-DD,MM-DD,V181-3,"In the 8th lunar month, on a day determined by divination, the birthday celebration of Sima shengwang 司马圣王 is held.",['Yanggong taishi']
10-13,10-13,V181-4,"10/13: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On all the above occasions, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V182-1,2/25: The village takes part in the procession of Qitian dasheng 齐天大圣 of the Chengxianggong’s 呈祥宫 around the entire ritual alliance.,['Qitian dasheng']
06-06,06-06,V182-2,6/6: The birthday of Fude zhengshen 福德正神.,['Fude zhengshen']
08-23,08-23,V182-3,"8/23: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人 On all the above occasions, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
02-25,02-25,V183-1,2/25: The village takes part in the procession of Chengyanggong’s 呈祥宫 Qitian dasheng 齐天大圣 around the entire ritual alliance.,['Qitian dasheng']
04-08,04-08,V183-2,4/8: The birthday of Daye 大爷 and Erye 二爷.,"['Daye', 'Erye']"
09-19,09-19,V183-3,9/19: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人.,"['Houtu furen', 'Zunzhu mingwang']"
10-19,10-19,V183-4,"10/19: The birthday of Xiling Kongdaren 西岭孔大人. On all the above occasions, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Xiling Kongdaren']
07-06,07-06,V183-5,"7/6: The birthday of Dufei niangniang 都妃娘娘. No opera is performed. Five Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Dufei niangniang']
07-23,07-23,V184-1,7/23: The birthday of Zhanggong shengjun 张公圣君. There are performances of opera and Daoist rituals 醮.,['Zhanggong shengjun']
MM-DD,MM-DD,V184-2,"Each time there is an intercalary 7th lunar month, Zhanggong is invited to go on a procession around the entire ritual alliance.",['Zhanggong shengjun']
09-19,09-19,V184-3,9/19: The birthday of Guanyin dashi 观音大士 is celebrated.,"['Guanyin', 'Guanyin dashi']"
10-23,10-23,V184-4,"10/23: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人 of the Xingxianshê 兴贤社 is celebrated. On all the above occasions, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
02-02,02-02,V185-1,On 2/2: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is celebrated and organized by Xiakengyuan 下坑园 and Dongdu 东渡 together. Opera is performed and funds are collected on a per capita basis.,"['Houtu furen', 'Zunzhu mingwang']"
04-26,04-26,V185-2,On 4/26: The birthday of Yanggong taishi 杨公太师 is celebrated.,['Yanggong taishi']
06-06,06-06,V185-3,"On 6/6: The birthday of Jieyin shangshu 戒印尚书 is celebrated. On the above occasions, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
02-02,02-02,V186-1,2/2: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized together with the villages of Xiakengyuan 下坑园 and Dongdu 东渡. Funding is raised on a per capita basis from all three villages.,"['Houtu furen', 'Zunzhu mingwang']"
06-06,06-06,V186-2,6/6: The birthday of Jieyin shangshu 戒印尚书 is celebrated.,[]
07-07,07-07,V186-3,7/7: The birthday of Lufu dashen 鲁府大神 and Lufu furen 鲁府夫人 are celebrated. Marionette plays are performed.,['Lufu furen']
08-23,08-23,V186-4,8/23: The birthday of Tiangong yuanshuai 田公元帅 is celebrated.,"['Tiangong', 'Tiangong yuanshuai']"
10-26,10-26,V186-5,"10/26: The birthday of Xiling Kong daren 西岭孔大人 is celebrated. On all the above occasions, unless otherwise indicated, opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
02-02,02-02,V187-1,On 2/2: The birthday of Zunzhu ming wang 尊主明王 and Houtu furen 后土夫人 is organized together with the villages of Xiakengyuan 下坑园 and Shangkengyuan上坑园. Opera is performed. Funding is raised on a per capita basis from all three villages.,['Houtu furen']
03-15,03-15,V187-2,3/15: The birthdays of Xuantan yuanshuai 玄坛元帅 and Ciji zhenjun 慈济真君 are celebrated.,"['Ciji zhenjun', 'Xuantan yuanshuai']"
07-16,07-16,V187-3,Opera is performed and Daoist ritual masters conduct rituals 7/16: The birthday of Sanyi jiaozhu 三一教主 is celebrated. Opera is performed and ritual masters conduct rituals,['Sanyi jiaozhu']
04-26,04-26,V188-1,4/26: The birthday of Yanggong taishi 杨公太师 is celebrated with opera and Daoist rituals.,['Yanggong taishi']
08-26,08-26,V188-2,8/26: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人 are celebrated with opera and Daoist rituals. This event is organized together with the villages of Xiakengyuan 下坑园 and Dongdu 东渡. Funds are collected on a per capita basis.,"['Houtu furen', 'Zunzhu mingwang']"
10-29,10-29,V188-3,10/29: the birthday of Guanyin dashi 观音大士 is celebrated with opera and Daoist rituals.,"['Guanyin', 'Guanyin dashi']"
07-16,07-16,V189-1,On 7/16 the birthday of Sanyi jiaozhu 三一教主 is celebrated and opera is performed.,['Sanyi jiaozhu']
MM-DD,MM-DD,V189-2,"In the 8th lunar month, on a day determined by divination, Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are celebrated with opera and Daoist rituals.",['Sanyi jiaozhu']
04-09,04-09,V190-1,4/9: The birthday of Tiangong yuanshuai 田公元帅 is celebrated with opera and Daoist rituals.,"['Tiangong', 'Tiangong yuanshuai']"
06-19,06-19,V190-2,6/19: The birthday of Fude zhengshen 福德正神 is celebrated with opera and Daoist rituals.,['Fude zhengshen']
08-26,08-26,V190-3,8/26: Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are celebrated with opera and Daoist rites.,"['Houtu furen', 'Zunzhu mingwang']"
